"Description","Price","Rating","Reviews"
"Syntech USB C to USB Adapter Pack of 2 USB C Male to USB 3.0 Female Adapter Compatible with MacBook Pro Air 2024, Microsoft Surface, iPad,Samsung Notebook, Dell XPS and More Type C Devices,Space Grey","7.","4.7 out of 5 stars","173,061"
"HP 952 Cyan, Magenta, Yellow Ink Cartridges (3-pack) | Works with HP OfficeJet 8702, HP OfficeJet Pro 7720, 7740, 8210, 8710, 8720, 8730, 8740 Series | Eligible for Instant Ink | N9K27AN","81.","4.7 out of 5 stars","17,942"
"HP 63 Black/Tri-color Ink Cartridge (2-pack) | Works with HP DeskJet 1112, 2130, 3630 Series; HP ENVY 4510, 4520 Series; HP OfficeJet 3830, 4650, 5200 Series | Eligible for Instant Ink | L0R46AN","56.","4.7 out of 5 stars","43,417"
"HP 962 Cyan, Magenta, Yellow Ink Cartridges (3-pack) | Works with OfficeJet 9010 Series,OfficeJet Pro 9010, 9020 Series | Eligible for Instant Ink | 3YP00AN","72.","4.7 out of 5 stars","12,186"
"Logitech G305 LIGHTSPEED Wireless Gaming Mouse, Hero 12K Sensor, 12,000 DPI, Lightweight, 6 Programmable Buttons, 250h Battery Life, On-Board Memory, PC/Mac - Black",NA,"4.6 out of 5 stars","31,494"
"SD Card Reader for iPhone, Memory Card Reader with USB Camera Adapter Plug and Play Trail Game Camera SD Card Viewer Supports SD and TF Card Micro SD Card Adapter for iPad No App Required","8.","4.4 out of 5 stars","4,692"
"Highwings 8K 10K 4K HDMI Cable 48Gbps 6.6FT/2M, Certified Ultra High Speed HDMI Cable Braided Cord-4K@120Hz 8K@60Hz, DTS:X, HDCP 2.2 & 2.3, HDR 10 Compatible with Roku TV/PS5/HDTV/Blu-ray","7.","4.7 out of 5 stars","31,783"
"Logitech M185 Wireless Mouse, 2.4GHz with USB Mini Receiver, 12-Month Battery Life, 1000 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Swift Grey","13.","4.5 out of 5 stars","34,325"
"HP Original 952 Cyan, Magenta, Yellow / 952XL Black Ink Cartridges (4-Pack) | Works OfficeJet 8702 OfficeJet Pro 7700, 8210, 8700 Series | Eligible for Instant Ink | N9K28AN","134.","4.6 out of 5 stars","1,625"
"Logitech G502 HERO High Performance Wired Gaming Mouse, HERO 25K Sensor, 25,600 DPI, RGB, Adjustable Weights, 11 Programmable Buttons, On-Board Memory, PC / Mac",NA,"4.6 out of 5 stars","53,286"
"SanDisk 256GB microSDXC Card, Licensed for Nintendo Switch - SDSQXAO-256G-GNCZN","22.","4.8 out of 5 stars","319,832"
"HP 63XL Black High-yield Ink Cartridge | Works with HP DeskJet 1112, 2130, 3630 Series; HP ENVY 4510, 4520 Series; HP OfficeJet 3830, 4650, 5200 Series | Eligible for Instant Ink | F6U64AN",NA,"4.7 out of 5 stars","51,895"
"High-Speed USB C Hub - Fast Data Transfer & Plug and Play, Sleek Compact Design for Effortless Connectivity, Ideal USB C Multi-Port Adapter for MacBook Pro, Air & More Devices","7.","4.0 out of 5 stars","89"
"IOGEAR 12 Button MMO Gaming Mouse -GME680","29.","3.3 out of 5 stars","5"
"2U Vented Server Rack Shelf, 16 inches Deep, Deep Adjustable Cantilever Tray for 19"" Network Equipment Rack","39.",NA,NA
"Grande Cosmetics MASCARA Conditioning","12.","4.2 out of 5 stars","0.2 Ounce (Pack of 1)"
"Ambient Lighting Finishing Powder - Dim Light (0.35 oz)","45.","4.6 out of 5 stars","0.35 Ounce (Pack of 1)"
"HARUHARU Wonder Black Rice Moisture Cleansing Oil 5.1 fl.oz / 150ml | Korean Facial Cleanser, Makeup Remover | Vegan, Cruelty Free | Jojoba Seed Oil, Macadamia Seed Oil","11.","4.5 out of 5 stars","5.1 Fl Oz (Pack of 1)"
"Revlon Super Lustrous Lipstick Set, 3-Piece Lip Color Gift Set for Women, Makeup Stocking Stuffers, Multi-Finish in Cream, Pearl & Matte, Pack of 3","13.","4.5 out of 5 stars","Stick"
"stila Waterproof Liquid Eye Liner, Stay All Day Makeup with Fine Brush Tip Lasting Satin Finish, Smudge-Proof & Transfer-Resistant","18.","4.4 out of 5 stars","Pencil"
"Grande Cosmetics Lash Vibes","64.","4.0 out of 5 stars","1"
"Glint Dewy Highlighter (Diamond Veil, 0.08oz) - Luminous Glow, Infused with Micropearls, Shiny Illuminator. Rich Pigment & Silky Touch, Korean Makeup.","23.","3.9 out of 5 stars","25"
